Stock,Sector,MSE_day1,RMSE_day1,R2_day1,MSE_all,RMSE_all,R2_all,Next_7_Days,Model_File,Plot_File,Train_Epochs
NTPC,Unknown,83.89442573268,9.159390030601383,0.9459262799103914,164.9997162588429,12.84522153405082,0.8880030405631271,"[342.61558303833, 337.0249994754791, 338.9743249654769, 339.6819860219955, 338.93807613849634, 338.6643734455108, 343.61058928966514]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\NTPC_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\NTPC_day1_plot.png,30
ONGC,Unknown,188.7421961489887,13.738347649880923,0.817008437115694,280.68671354360816,16.753707456667858,0.7201860108100661,"[242.1969168484211, 243.55578848719597, 241.10167127847672, 238.93123170733452, 242.12099294364452, 239.6166796386242, 241.01635974645615]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\ONGC_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\ONGC_day1_plot.png,18
Power Grid,Unknown,97.69088692399552,9.883870037793674,0.9194132913737751,149.52865501441812,12.228190995172513,0.8712022474480772,"[287.82664406597615, 289.40128730237484, 288.41399127542974, 287.3644273489714, 290.3464650422335, 289.0106961607933, 289.29217855036256]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Power Grid_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Power Grid_day1_plot.png,30
Reliance,Unknown,1137.8115688930827,33.73146259641113,0.9030126791183215,1875.2523063965746,43.304183474539435,0.8359311662118561,"[1408.2989309823513, 1409.3157072997092, 1409.4735989570618, 1412.688138515353, 1420.4185107767582, 1409.4193544739485, 1415.8013286989926]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Reliance_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Reliance_day1_plot.png,30
SBI life,Unknown,1753.8496805214802,41.878988532693576,0.9393834031101017,3472.0546080788286,58.924142828545484,0.8806633932172363,"[1843.5218620300295, 1825.0682588458062, 1817.3529235839844, 1818.5023438096048, 1831.0192875146868, 1827.5744754433633, 1841.412464976311]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\SBI life_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\SBI life_day1_plot.png,30
SBI,Unknown,1028.3839875748533,32.068426646389334,0.8230413121718221,2340.5373138305426,48.37909996920718,0.5841743079715607,"[831.6928639769554, 807.8906033396721, 791.7691068410874, 829.9294110298157, 759.4425051569939, 824.2545785665512, 856.3964109182358]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\SBI_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\SBI_day1_plot.png,9
Shriram finance,Unknown,341.249022954879,18.472926756604625,0.9572719622769802,733.4982347272704,27.08317253807741,0.9064242146872338,"[681.3301126384735, 679.0355498695374, 687.0623961353301, 681.9048839473724, 686.2559529209136, 686.8100881004333, 682.2401165390014]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Shriram finance_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Shriram finance_day1_plot.png,28
SUN pharma,Unknown,6057.240374159131,77.82827490160071,0.8231790727327913,4878.876888361374,69.84895767555429,0.8506065647659832,"[1612.0357593774795, 1669.3180591225623, 1626.1205296874045, 1636.6342745423315, 1627.4482769727706, 1644.9388182997702, 1625.2352034807204]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\SUN pharma_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\SUN pharma_day1_plot.png,13
TATA consumer,Unknown,4454.948632349433,66.74540158205232,0.4424933573138683,3710.8550155701,60.916787633378206,0.5263954023799645,"[1068.1718886077404, 1061.80710414052, 1115.9993666529654, 1078.7077475607393, 1102.2000204503536, 1114.238485777378, 1104.6599486529826]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\TATA consumer_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\TATA consumer_day1_plot.png,9
TATA motors,Unknown,1072.9229149301605,32.75550205584034,0.9490188247518961,2373.808006591645,48.72174059484785,0.8918352052860179,"[542.3996120855212, 548.3539908155799, 559.5763104081154, 553.3869316920639, 546.0834027156234, 543.282847326994, 550.2820952758193]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\TATA motors_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\TATA motors_day1_plot.png,21
TATA steel,Unknown,27.53913421042152,5.2477742148859186,0.8711592840380349,45.024887516691436,6.710058682060198,0.7851303028307062,"[170.43556492567063, 171.36985093951228, 166.67395013689998, 167.28956442654135, 169.10601747334005, 170.81211003124716, 171.85168026149276]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\TATA steel_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\TATA steel_day1_plot.png,16
TCS,Unknown,10680.886851806512,103.34837614499084,0.9398675519224503,17939.90969753636,133.93994810188767,0.9006766056614747,"[3080.7476822966337, 3077.8097930842637, 3086.1807936900855, 3094.6584937548637, 3072.6539750009774, 3062.002612768412, 3091.140752492547]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\TCS_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\TCS_day1_plot.png,28
Tech M,Unknown,953.7126346721202,30.882238174590263,0.9686752349490118,2486.676217148515,49.86658417365797,0.9162340148920777,"[1478.624109351635, 1488.268509030342, 1462.164789557457, 1461.7894686937334, 1463.2045067548752, 1470.7564329624176, 1482.6346053838731]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Tech M_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Tech M_day1_plot.png,30
Titan,Unknown,10622.895226346971,103.0674304828978,0.6990454800022026,16571.41068342274,128.7299913905953,0.5273818466366746,"[3549.3385855317115, 3579.8315228670835, 3540.4408386379478, 3531.9281588226554, 3580.80385440886, 3582.627666324377, 3546.432635301351]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Titan_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Titan_day1_plot.png,17
Trent,Unknown,158871.77698196445,398.5872263156014,0.9146818825839873,216910.71379201385,465.7367430126314,0.8799496589454668,"[4999.425614227057, 4922.024174079896, 5007.6642864608775, 4967.797470712662, 5031.456209135056, 4994.949910779, 4999.6900547111045]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Trent_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Trent_day1_plot.png,22
Ultra Tech cem,Unknown,122673.64522660756,350.2479767630465,0.8860849588590178,167637.84972490818,409.4360142011303,0.8396866227591326,"[12301.402632546424, 12197.907569384573, 12191.393278479574, 12232.790447887777, 12350.47316714227, 12218.185256069897, 11829.307887002824]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Ultra Tech cem_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Ultra Tech cem_day1_plot.png,15
Wipro,Unknown,40.59067992019594,6.371081534574482,0.9453904571903416,83.93118305271332,9.161396348412906,0.8830022771732036,"[250.32900368750094, 252.23146162569523, 250.20089338839054, 250.53271705985068, 249.2804422187805, 252.26472231209277, 249.9569539153576]",D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\models\Wipro_lstm_7d.h5,D:\Datasets\Stock trend prediction datasets(N50)\Results_MultiFeature_7day\plots\Wipro_day1_plot.png,21
